,Neural SDE,LSTM (Gaussian)
RMSE,0.00021341497076373902,0.0002176162615317457
MAE,5.5081706402004996e-05,5.2613486343371634e-05
MAPE (%),80.97685959698858,81.4436958543367
QLIKE,0.25188930862671677,0.2609714327587629
CRPS,4.0996540967050715e-05,3.9335302202908404e-05
90% coverage (%),69.57186544342507,84.70948012232415
95% coverage (%),77.82874617737004,90.36697247706422
90% interval width,0.00012242869706824422,0.0001824682258302346
95% interval width,0.00014701351756229997,0.0002399150253040716
