model,RMSE,RMSE_95%_CI,QLIKE,QLIKE_95%_CI
Neural SDE,0.00021341497076373902,"[0.000101, 0.000311]",0.25188930862671677,"[0.2086, 0.3041]"
LSTM,0.0002176162615317457,"[0.000090, 0.000352]",0.2609714327587629,"[0.2181, 0.3082]"
